complexity,Kernel 0,Kernel 1,Kernel 2,Kernel 3,Kernel 4,Kernel 5,Kernel 6,Kernel 7,Kernel 8,Kernel 9,Kernel 10,Kernel 11,Kernel 12,Kernel 13,Kernel 14,Kernel 15
0,0.3097705,cube(0.15095222),x1,-1.1212417,1.3906199,x5,square(0.20895836),x3,0.27490377,cube(0.008257302),-0.8853999,-0.19553128,square(-0.13707115),x3,-0.4222346,-1.8979503
1,cube(0.07544126),x5 * 0.042513985,square(-0.19397663),square(-0.11309032),square(0.13054723),sin(0.0040283254),0.20464806 * x3,cube(0.2607489),sin(3.1280816),sin(cube(0.007879017)),sin(0.020258417),cube(-0.0009841175),x4 * 0.10122544,square(-0.11209572),cube(-0.0066060247),sin(0.009098955)
2,-0.0051111975 * x6,square(x5 * 0.2541651),0.081789054 * x0,x4 * 0.05961048,-0.057696287 * x3,-0.0121708 * x1,0.08874319 * exp(x3),0.11434723 * x6,x4 * -0.044176344,square(square(cube(0.010761363))),0.060208354 * x3,square(cube(cube(-0.16613401))),0.12046082 * sin(x4),-0.10710424 * x6,square(cube(-0.03372588)),-0.10153959 * x2
3,cube(-0.16446339 * x6),0.029463347 * (x5 - x2),cube(x0 * 0.2027124),sin(x4) * 0.07690916,0.022022273 / exp(x3),cube(x1 * -0.19082963),square(exp(-1.858188 + x3)),sin(x6) * 0.14911485,0.04464928 * sin(x0),,sin(x3) * 0.09678711,cube(cube(exp(2.6482456 * -1.4743948))) / -1.7063946,(x1 * -0.160636) * x4,square(x8 * x6),sin(square(square(cube(square(0.23790616))))),cube(-0.45876035 * x2)
4,cube(square(0.31687516 * x6)),cube(x5 - x2) * 0.029463347,sin(cube(0.21655095 * x0)),0.05961048 * (x4 + x2),square(-0.09188481 / exp(x3)),-0.0121708 * (x1 + x5),x3 * (exp(x3) * 0.08710117),square(x3 / exp(x0)),square(x3 / exp(x0)),,square(x3 / exp(x0)),sin(square(cube(-0.19054356) * cube(cube(cube(-0.19054356) * cube(square(cube(0.52798486))))))),0.08047119 * (x4 - sin(x1)),(x6 * x4) * x8,square(square(cube(square(square(square(cube(square(0.23790616)))))))),cube(x2 / cube(-1.2970072))
5,sin(cube(0.047993716 / exp(x6))),square(x5 / exp(x0 + x2)),cube((x2 - x0) * -0.19120237),(x4 * exp(x2)) * 0.05961048,square(sin(-0.0994259 / exp(x3))),-0.0121708 * cube(x1 + x5),square((x1 - exp(x3)) * -0.15694036),square(x3 / (exp(x0) + x3)),square(sin(x3) / exp(x0)),,0.025196072 * exp(x4 + x3),,square(exp(x4 - exp(exp(x1)))),square((x6 - x7) * x8),,cube((x2 - x4) * -0.40859106)
6,square(cube(x6 * -0.36348352)) * x3,cube(square(x5 - x2) / exp(x0)),square(square(-0.20018657 * (x0 - x2))),square(exp(x4 - x0) * x2),square(-0.09558909 / exp(x7 + x3)),square(cube((x1 + x5) * 0.32915214)),(exp(x3 - x1) * 0.082387604) * x3,square(sin(x6 / exp(x3 + x0))),square((x6 - x4) / exp(x0)),,cube(x3 / exp(x0 - x1)),,square(exp(cube(x4 - exp(exp(x1))))),square((x6 - x7) * sin(x8)),,cube(-0.42874637 * (x2 - sin(x4)))
7,cube(square(cube(x6 * square(exp(-0.36348352)))) * x3),sin(cube(square(x2 - x5) / exp(x0))),cube(((x4 + x2) - x0) * -0.17370123),cube(sin(0.39273095 * exp(x2))) * x4,sin(square(0.10486465 / exp(x3 + x7))),cube(((-1.149706 + x1) + x5) * -0.16127488),x3 * (exp(x3 - sin(x1)) * 0.08710117),sin(square(sin(x6) / exp(x3 + x0))),square(x6 / (exp(square(x0)) + x4)),,cube(sin(x3 / exp(x0 - x1))),,sin(exp(cube(x4 - exp(exp(sin(x1)))))),cube((x8 - (x4 - x7)) * 0.37365702),,cube(((x2 + -0.30866936) - x4) * -0.3607257)
8,cube(square(x3 * cube((x6 * sin(0.5834731)) * square(cos(x4))))),square(square((x0 + (x5 - x2)) / exp(x0))),cube(-0.16817878 * ((x4 - x0) - square(x2))),square(square(sin(x1 * exp(x4 - x0)))),square(-0.0898038 / exp((x3 - x5) + x7)),square(cube(((x5 + -0.71033055) + x1) * -0.2800107)),x3 * sin(exp(x3 - sin(x1)) * 0.09561921),cube(sin(x6 / exp(x3 + (x0 - x4)))),cube(((x6 - x7) - x4) / exp(x0)),,cube((x3 / exp(x0 - x4)) - -0.12385268),,x0 * exp(cube((x4 - exp(x1)) - x0)),square(x6 * (0.19295472 * exp(x7 - x4))),,square(square((x4 * 0.66169804) - x2) * 0.24586728)
9,cube(square(square(x6 * 0.47195688) * (cos(square(square(x0) * square(-0.36348352))) + x2))) * x3,cube(sin(square((x5 - x2) - -0.33323187) / exp(x0))),cube(-0.17213926 * (x2 - ((x7 + x0) - x4))),cube((exp(x4 - x0) * sin(x1)) * x1),square(sin(0.09725666 / exp(x7 + (x3 - x5)))),sin(square(cube(-0.29523918 * (x5 + (x1 + -0.5767686))))),(x3 - -0.119359955) * sin(exp(x3 - sin(x1)) * 0.08714097),square(x6 / (exp(x0 + (x3 + 0.3769967)) + x1)),cube(((x6 - x7) - sin(x4)) / exp(x0)),,cube((x3 / exp(x0 - sin(x1))) - -0.12385268),,square(x0) * exp(cube((x4 - exp(x1)) - x0)),square((x6 - x7) * (-0.39691043 * (x4 - 0.50807744))),,cube((x2 - sin(x4 + sin(x0))) * -0.3607257)
